number,country,category,source
347 2103555,IT,scam,https://infoconsumotoscana.it/?p=1872
340 8178510,IT,scam,https://infoconsumotoscana.it/?p=1872
347 6396042,IT,scam,https://infoconsumotoscana.it/?p=1872
348 4942402,IT,scam,https://infoconsumotoscana.it/?p=1872
348 3577451,IT,scam,https://infoconsumotoscana.it/?p=1872
045 11171044,IT,scam,https://infoconsumotoscana.it/?p=1872
340 9311358,IT,scam,https://infoconsumotoscana.it/?p=1872
055 4654354,IT,scam,https://infoconsumotoscana.it/?p=1872
055 4654322,IT,scam,https://infoconsumotoscana.it/?p=1872
338 2259466,IT,scam,https://infoconsumotoscana.it/?p=1872
041 2538596,IT,scam,https://infoconsumotoscana.it/?p=1872
055 4654514,IT,scam,https://infoconsumotoscana.it/?p=1872
055 4654590,IT,scam,https://infoconsumotoscana.it/?p=1872
055 4654375,IT,scam,https://infoconsumotoscana.it/?p=1872
342 0558823,IT,survey,https://infoconsumotoscana.it/?p=1872
346 3533645,IT,survey,https://infoconsumotoscana.it/?p=1872
347 2857020,IT,survey,https://infoconsumotoscana.it/?p=1872
02 692927527,IT,telemarketing,https://www.punto-informatico.it/elenco-aggiornato-numeri-spam-diffondono-truffe-telefoniche/
02 22198700,IT,telemarketing,https://www.punto-informatico.it/elenco-aggiornato-numeri-spam-diffondono-truffe-telefoniche/
02 80887028,IT,telemarketing,https://www.punto-informatico.it/elenco-aggiornato-numeri-spam-diffondono-truffe-telefoniche/
02 80887589,IT,telemarketing,https://www.punto-informatico.it/elenco-aggiornato-numeri-spam-diffondono-truffe-telefoniche/
02 80886927,IT,telemarketing,https://www.punto-informatico.it/elenco-aggiornato-numeri-spam-diffondono-truffe-telefoniche/
06 98235201,IT,telemarketing,https://angolodiwindows.com/2026/01/retelit-digital-services-s-p-a-il-lato-oscuro-dei-numeri-fissi-dei-call-center-molesti/
02 1195589346,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
02 1195588724,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
02 1195589348,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
02 1195588733,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
02 1195588727,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
02 1195589292,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
02 1195588725,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
+49 40 655801583,IT,survey,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
+49 40 299961730,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
+44 161 5647042,IT,scam,https://www.melablog.it/chiamate-spam-in-aumento-nonostante-le-nuove-regole-i-numeri-da-bloccare-e-le-truffe-piu-diffuse/
